# x_perp   Delta_GR(km/s)   Delta_f(R)(km/s)   Delta_DGP(km/s)
0.786677   -3.7484   -4.99787   -2.66191
0.79093   -3.75793   -5.01058   -2.66868
0.795182   -3.76744   -5.02326   -2.67543
0.799434   -3.77693   -5.0359   -2.68217
0.803687   -3.78639   -5.04852   -2.68889
0.807939   -3.79583   -5.06111   -2.69559
0.812191   -3.80525   -5.07366   -2.70228
0.816444   -3.81464   -5.08619   -2.70895
0.820696   -3.82402   -5.09869   -2.71561
0.824948   -3.83337   -5.11116   -2.72225
0.8292   -3.8427   -5.1236   -2.72888
0.833453   -3.85201   -5.13602   -2.73549
0.837705   -3.8613   -5.1484   -2.74208
0.841957   -3.87057   -5.16076   -2.74866
0.84621   -3.87981   -5.17308   -2.75523
0.850462   -3.88904   -5.18538   -2.76178
0.854714   -3.89824   -5.19765   -2.76832
0.858967   -3.90742   -5.2099   -2.77484
0.863219   -3.91659   -5.22211   -2.78134
0.867471   -3.92573   -5.2343   -2.78783
0.871724   -3.93485   -5.24646   -2.79431
0.875976   -3.94395   -5.2586   -2.80077
0.880228   -3.95303   -5.2707   -2.80722
0.884481   -3.96209   -5.28278   -2.81366
0.888733   -3.97113   -5.29484   -2.82008
0.892985   -3.98015   -5.30687   -2.82648
0.897237   -3.98915   -5.31887   -2.83287
0.90149   -3.99813   -5.33084   -2.83925
0.905742   -4.00709   -5.34279   -2.84561
0.909994   -4.01603   -5.35471   -2.85196
0.914247   -4.02495   -5.3666   -2.8583
0.918499   -4.03386   -5.37847   -2.86462
0.922751   -4.04274   -5.39032   -2.87093
0.927004   -4.0516   -5.40214   -2.87722
0.931256   -4.06045   -5.41393   -2.88351
0.935508   -4.06927   -5.4257   -2.88977
0.939761   -4.07808   -5.43744   -2.89603
0.944013   -4.08687   -5.44916   -2.90227
0.948265   -4.09564   -5.46085   -2.9085
0.952517   -4.10439   -5.47252   -2.91471
0.95677   -4.11312   -5.48416   -2.92091
0.961022   -4.12183   -5.49578   -2.9271
0.965274   -4.13053   -5.50737   -2.93327
